Compound,ICSD#,Lattice,Pearson,Ncell,Eg,Efitg,me,mh,hPni/L,Pn1/L,Pn2/L,Pn3/L,hPpi/L,Pp1/L,Pp2/L,Pp3/L
As2Mg3,24485,cub,cP10,10,0.51,1.61,0.12,0.73,0.62,0.62,0.62,0.62,8.04,8.04,8.04,8.04
As2Mg3,43990,bcc,cI80,40,1.43,2.83,0.23,2.29,2.52,2.52,2.52,2.52,13.11,13.11,13.11,13.11
As2Mo2O12Sr1,87794,mcl,mP34,34,2.57,4.38,3.25,7.51,10.07,2.85,7.08,20.29,10.28,8.69,9.02,13.13
As2Na4Te4,300185,orc,oP40,40,1.05,2.33,2.54,0.97,7.49,5.22,7.94,9.33,9.82,7.34,9.52,12.62
As2O3,2114,fcc,cF80,20,4.02,6.33,2.93,6.95,8.23,8.23,8.23,8.23,14.97,14.97,14.97,14.97
As2O3,4108,mcl,mP20,20,3.27,5.33,1.55,2.35,2.34,1.54,2.26,3.24,5.19,0.31,4.90,10.37
As2O4Pb1,65027,mcl,mP28,28,2.86,4.77,0.92,3.84,2.47,1.29,2.67,3.46,3.88,2.91,4.33,4.39
As2O4Zn1,202249,mcl,mP28,28,3.52,5.66,0.48,2.99,6.02,0.02,6.60,11.44,8.07,1.74,8.43,14.06
As2O4,10436,orc,oP24,24,3.36,5.45,1.10,16.56,6.51,0.48,9.18,9.86,14.93,5.78,13.12,25.88
As2O5,987,orc,oP28,28,1.45,2.86,0.42,29.25,1.11,0.12,0.73,2.47,9.07,3.15,3.17,20.90
As2O6Pb1,81063,hex,hP9,9,2.13,3.79,0.36,0.40,0.23,0.15,0.18,0.37,0.95,0.73,0.80,1.32
As2O6S1,4297,orc,oP18,18,4.38,6.82,2.54,4.49,10.65,7.54,10.38,14.03,7.67,4.07,4.95,13.97
As2O7Ti1,73476,mcl,mP40,40,2.95,4.89,0.92,5.33,5.80,3.67,4.11,9.63,17.95,10.58,19.06,24.22
As2O7Ti1,73477,mclc(3),mS40,20,2.83,4.73,1.05,4.08,1.77,1.26,1.68,2.36,5.88,3.07,6.36,8.23
As2O8Pb3,200414,mcl,mP26,26,3.29,5.35,2.53,2.36,10.78,7.56,11.10,13.69,9.39,2.55,4.05,21.56
As2Os1,995,orc,oP6,6,0.89,2.11,0.65,0.70,0.78,0.57,0.83,0.94,1.86,1.35,1.91,2.31
As2Ru1,994,orc,oP6,6,0.48,1.56,0.54,0.29,0.52,0.32,0.60,0.65,0.90,0.13,0.35,2.22
As2S4Tl2,15231,mcl,mP32,32,0.96,2.21,7.48,7.16,4.21,0.06,1.66,10.92,4.61,0.05,2.86,10.92
